File,jury verdict,nonjury trial,plea of guilty,sever,suppress,sufficient,instructions,coerce,ineffective counsel,double jeopardy,speedy,coercion,youth,incapac,resentenc,juror,mental
2003_18282.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18283.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18284.htm.txt,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2003_18285.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18286.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2003_18324.htm.txt,,,,,,,,,,,,,,,,,
2003_18328.htm.txt,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2003_18330.htm.txt,,,,,,,,,,,,,,,,,
2003_18335.htm.txt,,,,,,,,,,,,,,,,,
2003_18341.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003_18342.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18344.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18345.htm.txt,,,,,,,,,,,,,,,,,
2003_18346.htm.txt,,,,,,,,,,,,,,,,,
2003_18353.htm.txt,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18355.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18357.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18359.htm.txt,,,,,,,,,,,,,,,,,
2003_18360.htm.txt,,,,,,,,,,,,,,,,,
2003_18362.htm.txt,,,,,,,,,,,,,,,,,
2003_18368.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18375.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003_18385.htm.txt,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2003_18386.htm.txt,,,,,,,,,,,,,,,,,
2003_18388.htm.txt,,,,,,,,,,,,,,,,,
2003_18391.htm.txt,,,,,,,,,,,,,,,,,
2003_18392.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18393.htm.txt,,,,,,,,,,,,,,,,,
2003_18394.htm.txt,,,,,,,,,,,,,,,,,
2003_18403.htm.txt,,,,,,,,,,,,,,,,,
2003_18404.htm.txt,,,,,,,,,,,,,,,,,
2003_18405.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18409.htm.txt,,,,,,,,,,,,,,,,,
2003_18444.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003_18473.htm.txt,,,,,,,,,,,,,,,,,
2003_18474.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18475.htm.txt,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2003_18476.htm.txt,0,0,1,,,,,,,,,,,,,,
2003_18477.htm.txt,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
