,File,jury verdict,nonjury trial,plea of guilty,sever,suppress,sufficient,instructions,coerce,ineffective counsel,double jeopardy,speedy,coercion,youth,incapac,resentenc,juror,mental
74,2003_18256.htm.txt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2003_18257.htm.txt,,,,,,,,,,,,,,,,,
76,2003_18258.htm.txt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2003_18259.htm.txt,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2003_18260.htm.txt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,2003_18261.htm.txt,1.0,0.0,0.0,,,,,,,,,,,,,,
80,2003_18262.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2003_18263.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2003_18264.htm.txt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2003_18265.htm.txt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,2003_18266.htm.txt,,,,,,,,,,,,,,,,,
85,2003_18267.htm.txt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2003_18268.htm.txt,,,,,,,,,,,,,,,,,
87,2003_18269.htm.txt,1.0,0.0,0.0,,,,,,,,,,,,,,
88,2003_18270.htm.txt,,,,,,,,,,,,,,,,,
89,2003_18271.htm.txt,1.0,0.0,0.0,,,,,,,,,,,,,,
90,2003_18272.htm.txt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2003_18274.htm.txt,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,2003_18275.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2003_18276.htm.txt,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2003_18277.htm.txt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
95,2003_18278.htm.txt,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2003_18279.htm.txt,,,,,,,,,,,,,,,,,
97,2003_18280.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2003_18281.htm.txt,,,,,,,,,,,,,,,,,
99,2003_18282.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2003_18283.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
101,2003_18284.htm.txt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,2003_18285.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
103,2003_18286.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104,2003_18324.htm.txt,,,,,,,,,,,,,,,,,
105,2003_18328.htm.txt,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,2003_18330.htm.txt,,,,,,,,,,,,,,,,,
107,2003_18335.htm.txt,,,,,,,,,,,,,,,,,
108,2003_18341.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,2003_18342.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2003_18344.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
111,2003_18345.htm.txt,,,,,,,,,,,,,,,,,
112,2003_18346.htm.txt,,,,,,,,,,,,,,,,,
113,2003_18353.htm.txt,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2003_18355.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2003_18357.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2003_18359.htm.txt,,,,,,,,,,,,,,,,,
117,2003_18360.htm.txt,,,,,,,,,,,,,,,,,
118,2003_18362.htm.txt,,,,,,,,,,,,,,,,,
119,2003_18368.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2003_18375.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
121,2003_18385.htm.txt,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,2003_18386.htm.txt,,,,,,,,,,,,,,,,,
123,2003_18388.htm.txt,,,,,,,,,,,,,,,,,
124,2003_18391.htm.txt,,,,,,,,,,,,,,,,,
125,2003_18392.htm.txt,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2003_18393.htm.txt,,,,,,,,,,,,,,,,,
127,2003_18394.htm.txt,,,,,,,,,,,,,,,,,
128,2003_18403.htm.txt,,,,,,,,,,,,,,,,,
129,2003_18404.htm.txt,,,,,,,,,,,,,,,,,
130,2003_18405.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2003_18409.htm.txt,,,,,,,,,,,,,,,,,
132,2003_18444.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2003_18473.htm.txt,,,,,,,,,,,,,,,,,
134,2003_18474.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
